                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98932,                 1.2557,                0.96303,                0.62641,                0.61012,                 0.6796,                0.54021,                  0.804,                 1.0738,                0.93999,             0.00052173,             0.00052173,             0.00052173
                     36,                0.97979,                 1.2428,                0.95917,                0.65076,                0.61427,                0.69168,                0.54973,                0.81403,                 1.0507,                0.94063,             0.00051733,             0.00051733,             0.00051733
                     37,                0.98735,                 1.2426,                0.96153,                0.67743,                0.60562,                0.69911,                0.56232,                0.78689,                 1.0396,                0.93382,             0.00051292,             0.00051292,             0.00051292
                     38,                0.96391,                 1.2122,                0.95502,                0.65181,                0.59547,                0.68553,                0.54858,                0.78332,                 1.0593,                0.92815,             0.00050852,             0.00050852,             0.00050852
                     39,                0.98064,                 1.2085,                0.95572,                0.69024,                 0.6159,                0.71708,                0.57792,                0.76913,                 0.9853,                0.92809,             0.00050412,             0.00050412,             0.00050412
                     40,                0.95306,                 1.1947,                 0.9496,                0.65734,                0.63413,                0.70914,                0.56678,                0.77845,                  1.011,                0.92606,             0.00049972,             0.00049972,             0.00049972
                     41,                0.95254,                 1.1772,                0.94733,                0.68046,                0.62977,                0.72557,                0.58802,                0.75976,                0.97142,                0.92301,             0.00049531,             0.00049531,             0.00049531
                     42,                0.95684,                  1.178,                0.94774,                0.69675,                0.63379,                0.72878,                0.58623,                0.76876,                0.96567,                0.92169,             0.00049091,             0.00049091,             0.00049091
                     43,                0.94199,                 1.1581,                0.94995,                0.67787,                0.62943,                0.72194,                0.58542,                0.75932,                0.98007,                0.91965,             0.00048651,             0.00048651,             0.00048651
                     44,                0.93613,                 1.1366,                0.94037,                0.67628,                0.65641,                0.73886,                0.59696,                0.76548,                0.94325,                0.92221,             0.00048211,             0.00048211,             0.00048211
                     45,                0.93295,                  1.131,                0.94342,                0.69662,                0.63241,                0.73422,                0.59548,                0.74802,                0.94735,                0.91991,             0.00047771,             0.00047771,             0.00047771
                     46,                0.92411,                 1.1199,                0.93753,                0.70789,                0.63729,                0.73582,                0.60153,                0.73436,                0.93825,                0.91294,              0.0004733,              0.0004733,              0.0004733
                     47,                0.92087,                  1.108,                0.94123,                0.68737,                0.65889,                 0.7459,                 0.6006,                0.76745,                0.92769,                0.92062,              0.0004689,              0.0004689,              0.0004689
                     48,                0.91292,                 1.1008,                0.93886,                0.70886,                0.65147,                0.75391,                0.61302,                0.74677,                0.91341,                0.91669,              0.0004645,              0.0004645,              0.0004645
                     49,                 0.9139,                 1.0992,                0.93554,                0.73138,                0.64996,                0.75872,                0.61692,                0.74685,                0.90896,                0.91897,              0.0004601,              0.0004601,              0.0004601
                     50,                0.90865,                 1.0816,                0.93569,                0.71533,                0.67315,                0.76645,                0.62466,                0.73523,                0.88871,                0.91221,             0.00045569,             0.00045569,             0.00045569
                     51,                0.89936,                 1.0691,                0.93377,                0.75279,                0.63671,                 0.7651,                0.62833,                0.72038,                0.88443,                0.90711,             0.00045129,             0.00045129,             0.00045129
                     52,                0.91629,                 1.0808,                0.93607,                0.73626,                0.64488,                0.75942,                 0.6198,                0.72577,                0.90058,                  0.913,             0.00044689,             0.00044689,             0.00044689
                     53,                0.89076,                 1.0676,                0.93074,                0.71684,                0.67269,                0.76699,                0.63032,                0.71705,                0.88668,                0.91071,             0.00044249,             0.00044249,             0.00044249
                     54,                0.89585,                 1.0601,                0.92686,                0.74794,                0.66701,                0.77794,                0.64025,                0.71058,                0.86014,                0.90842,             0.00043809,             0.00043809,             0.00043809
                     55,                0.88387,                 1.0298,                0.92076,                0.76275,                0.66942,                0.78738,                0.64901,                0.70141,                0.83996,                0.90109,             0.00043368,             0.00043368,             0.00043368
                     56,                0.89114,                  1.041,                0.92519,                0.74797,                0.67373,                0.78761,                 0.6515,                0.70082,                0.83684,                0.90198,             0.00042928,             0.00042928,             0.00042928
                     57,                0.86522,                 1.0201,                0.92238,                0.77075,                0.66654,                0.78678,                0.65074,                0.70095,                0.83681,                0.90293,             0.00042488,             0.00042488,             0.00042488
                     58,                0.86657,                 1.0109,                0.91952,                0.76288,                 0.6686,                0.78085,                0.63814,                0.71445,                0.84273,                0.90477,             0.00042048,             0.00042048,             0.00042048
                     59,                  0.868,                 1.0052,                 0.9241,                 0.7791,                  0.663,                0.78899,                  0.652,                0.69357,                0.81415,                0.90215,             0.00041607,             0.00041607,             0.00041607
                     60,                0.86534,                 1.0004,                0.92086,                0.77141,                0.66416,                0.78888,                0.65221,                0.69672,                0.82523,                0.89959,             0.00041167,             0.00041167,             0.00041167
                     61,                0.86336,                0.99907,                0.91409,                0.76312,                0.69532,                 0.7954,                0.65945,                0.69276,                0.81508,                0.89931,             0.00040727,             0.00040727,             0.00040727
                     62,                0.86002,                0.98678,                0.91784,                0.75952,                0.68308,                0.79179,                0.65512,                 0.6906,                0.81011,                0.90023,             0.00040287,             0.00040287,             0.00040287
                     63,                0.85112,                0.96802,                0.91468,                0.76078,                0.68939,                0.79894,                0.66364,                0.67699,                0.80146,                0.89524,             0.00039847,             0.00039847,             0.00039847
                     64,                0.84677,                0.95884,                0.91369,                0.78081,                0.68879,                0.80269,                0.66778,                0.67876,                0.79031,                0.89774,             0.00039406,             0.00039406,             0.00039406
                     65,                0.85224,                0.96628,                0.91821,                0.77386,                0.69167,                0.80334,                0.66592,                 0.6796,                0.78835,                0.89707,             0.00038966,             0.00038966,             0.00038966
                     66,                0.84467,                0.97026,                0.91329,                0.76995,                0.69687,                0.80669,                0.66809,                 0.6863,                0.77979,                0.89715,             0.00038526,             0.00038526,             0.00038526
                     67,                0.83699,                0.95016,                0.91395,                0.80791,                0.68567,                 0.8096,                0.67365,                 0.6841,                0.77519,                0.89723,             0.00038086,             0.00038086,             0.00038086
                     68,                0.82657,                0.93715,                0.90578,                0.80222,                0.67265,                0.81166,                0.67605,                0.67364,                0.77127,                0.89277,             0.00037645,             0.00037645,             0.00037645
                     69,                0.83751,                0.93939,                0.91135,                  0.809,                0.68865,                0.81425,                0.67821,                0.67003,                0.76782,                0.89417,             0.00037205,             0.00037205,             0.00037205
